hh_id,country,hh_size
HH_be_G1_702766,be,3
HH_be_G1_702767,be,4
HH_be_G1_702770,be,5
HH_be_G1_702771,be,4
HH_be_G1_702772,be,3
HH_be_G1_702773,be,4
HH_be_G1_702775,be,4
HH_be_G1_702778,be,2
HH_be_G1_702779,be,2
HH_be_G1_702780,be,2
HH_be_G1_702782,be,1
HH_be_G1_702783,be,1
HH_be_G1_702784,be,1
HH_be_G1_702785,be,2
HH_be_G1_702787,be,2
HH_be_G1_702788,be,2
HH_be_G1_702789,be,3
HH_be_G1_702790,be,2
HH_be_G1_702791,be,4
HH_be_G1_702792,be,3
HH_be_G1_702794,be,3
HH_be_G1_702795,be,4
HH_be_G1_702796,be,2
HH_be_G1_702797,be,3
HH_be_G1_702801,be,5
HH_be_G1_702802,be,3
HH_be_G1_702803,be,3
HH_be_G1_702805,be,3
HH_be_G1_702807,be,2
HH_be_G1_702808,be,3
HH_be_G1_702809,be,3
HH_be_G1_702810,be,1
HH_be_G1_702811,be,3
HH_be_G1_702812,be,4
HH_be_G1_702813,be,1
HH_be_G1_702814,be,1
HH_be_G1_702815,be,1
HH_be_G1_702816,be,1
HH_be_G1_702817,be,1
HH_be_G1_702819,be,4
HH_be_G1_702820,be,3
HH_be_G1_702821,be,4
HH_be_G1_702822,be,1
HH_be_G1_702823,be,3
HH_be_G1_702824,be,4
HH_be_G1_702825,be,2
HH_be_G1_702826,be,2
HH_be_G1_702827,be,3
HH_be_G1_702828,be,2
HH_be_G1_702829,be,2
HH_be_G1_702830,be,1
HH_be_G1_702831,be,3
HH_be_G1_702833,be,4
HH_be_G1_702834,be,1
HH_be_G1_702835,be,5
HH_be_G1_702836,be,2
HH_be_G1_702837,be,3
HH_be_G1_702838,be,2
HH_be_G1_702840,be,2
HH_be_G1_702842,be,4
HH_be_G1_702843,be,1
HH_be_G1_702844,be,3
HH_be_G1_702845,be,4
HH_be_G1_702847,be,2
HH_be_G1_702848,be,3
HH_be_G1_702849,be,1
HH_be_G1_702850,be,4
HH_be_G1_702851,be,2
HH_be_G1_702852,be,1
HH_be_G1_702853,be,2
HH_be_G1_702855,be,2
HH_be_G1_702856,be,5
HH_be_G1_702857,be,1
HH_be_G1_702858,be,4
HH_be_G1_702859,be,2
HH_be_G1_702860,be,2
HH_be_G1_702861,be,4
HH_be_G1_702862,be,3
HH_be_G1_702863,be,2
HH_be_G1_702864,be,5
HH_be_G1_702865,be,3
HH_be_G1_702867,be,2
HH_be_G1_702868,be,2
HH_be_G1_702869,be,1
HH_be_G1_702870,be,1
HH_be_G1_702871,be,4
HH_be_G1_702872,be,3
HH_be_G1_702873,be,1
HH_be_G1_702874,be,3
HH_be_G1_702875,be,3
HH_be_G1_702876,be,3
HH_be_G1_702877,be,1
HH_be_G1_702878,be,4
HH_be_G1_702879,be,3
HH_be_G1_702880,be,2
HH_be_G1_702881,be,2
HH_be_G1_702883,be,4
HH_be_G1_702884,be,2
HH_be_G1_702885,be,4
HH_be_G1_702886,be,2
HH_be_G1_702888,be,2
HH_be_G1_702889,be,1
HH_be_G1_702890,be,2
HH_be_G1_702891,be,2
HH_be_G1_702892,be,3
HH_be_G1_702893,be,1
HH_be_G1_702894,be,3
HH_be_G1_702895,be,2
HH_be_G1_702896,be,2
HH_be_G1_702897,be,5
HH_be_G1_702898,be,4
HH_be_G1_702899,be,4
HH_be_G1_702900,be,4
HH_be_G1_702901,be,3
HH_be_G1_702902,be,3
HH_be_G1_702903,be,1
HH_be_G1_702904,be,2
HH_be_G1_702905,be,3
HH_be_G1_702906,be,2
HH_be_G1_702907,be,3
HH_be_G1_702908,be,3
HH_be_G1_702909,be,2
HH_be_G1_702910,be,2
HH_be_G1_702911,be,2
HH_be_G1_702912,be,1
HH_be_G1_702913,be,1
HH_be_G1_702914,be,2
HH_be_G1_702915,be,3
HH_be_G1_702916,be,2
HH_be_G1_702917,be,4
HH_be_G1_702918,be,4
HH_be_G1_702919,be,2
HH_be_G1_702920,be,1
HH_be_G1_702921,be,2
HH_be_G1_702922,be,3
HH_be_G1_702923,be,3
HH_be_G1_702924,be,5
HH_be_G1_702925,be,2
HH_be_G1_702926,be,3
HH_be_G1_702927,be,4
HH_be_G1_702928,be,1
HH_be_G1_702929,be,2
HH_be_G1_702931,be,3
HH_be_G1_702932,be,1
HH_be_G1_702933,be,3
HH_be_G1_702934,be,4
HH_be_G1_702935,be,5
HH_be_G1_702937,be,3
HH_be_G1_702938,be,2
HH_be_G1_702940,be,2
HH_be_G1_702941,be,2
HH_be_G1_702942,be,5
HH_be_G1_702944,be,2
HH_be_G1_702946,be,3
HH_be_G1_702947,be,3
HH_be_G1_702948,be,2
HH_be_G1_702949,be,3
HH_be_G1_702950,be,3
HH_be_G1_702951,be,1
HH_be_G1_702952,be,4
HH_be_G1_702953,be,2
HH_be_G1_702954,be,2
HH_be_G1_702956,be,4
HH_be_G1_702957,be,2
HH_be_G1_702959,be,1
HH_be_G1_702960,be,4
HH_be_G1_702961,be,2
HH_be_G1_702962,be,2
HH_be_G1_702963,be,2
HH_be_G1_702965,be,1
HH_be_G1_702966,be,3
HH_be_G1_702967,be,1
HH_be_G1_702968,be,2
HH_be_G1_702971,be,2
HH_be_G1_702974,be,3
HH_be_G1_702975,be,1
HH_be_G1_702976,be,2
HH_be_G1_702979,be,4
HH_be_G1_702981,be,4
HH_be_G1_702982,be,3
HH_be_G1_702983,be,3
HH_be_G1_702984,be,1
HH_be_G1_702986,be,2
HH_be_G1_702987,be,2
HH_be_G1_702988,be,9
HH_be_G1_702989,be,1
HH_be_G1_702991,be,3
HH_be_G1_702992,be,3
