"part_id","hh_id","part_age","part_gender"
"be_G1_702766","HH_be_G1_702766","40-49","M"
"be_G1_702767","HH_be_G1_702767","12-17","M"
"be_G1_702770","HH_be_G1_702770","0-4","F"
"be_G1_702771","HH_be_G1_702771","5-11","F"
"be_G1_702772","HH_be_G1_702772","50-59","F"
"be_G1_702773","HH_be_G1_702773","40-49","F"
"be_G1_702775","HH_be_G1_702775","40-49","F"
"be_G1_702778","HH_be_G1_702778","60-69","M"
"be_G1_702779","HH_be_G1_702779","50-59","M"
"be_G1_702780","HH_be_G1_702780","12-17","F"
"be_G1_702782","HH_be_G1_702782","70-120","F"
"be_G1_702783","HH_be_G1_702783","40-49","F"
"be_G1_702784","HH_be_G1_702784","40-49","F"
"be_G1_702785","HH_be_G1_702785","30-39","F"
"be_G1_702787","HH_be_G1_702787","70-120","M"
"be_G1_702788","HH_be_G1_702788","12-17","M"
"be_G1_702789","HH_be_G1_702789","50-59","M"
"be_G1_702790","HH_be_G1_702790","60-69","M"
"be_G1_702791","HH_be_G1_702791","50-59","M"
"be_G1_702792","HH_be_G1_702792","30-39","F"
"be_G1_702794","HH_be_G1_702794","40-49","M"
"be_G1_702795","HH_be_G1_702795","12-17","F"
"be_G1_702796","HH_be_G1_702796","70-120","M"
"be_G1_702797","HH_be_G1_702797","50-59","F"
"be_G1_702801","HH_be_G1_702801","40-49","M"
"be_G1_702802","HH_be_G1_702802","40-49","M"
"be_G1_702803","HH_be_G1_702803","40-49","M"
"be_G1_702805","HH_be_G1_702805","40-49","F"
"be_G1_702807","HH_be_G1_702807","50-59","F"
"be_G1_702808","HH_be_G1_702808","40-49","M"
"be_G1_702809","HH_be_G1_702809","50-59","M"
"be_G1_702810","HH_be_G1_702810","50-59","F"
"be_G1_702811","HH_be_G1_702811","30-39","M"
"be_G1_702812","HH_be_G1_702812","18-29","M"
"be_G1_702813","HH_be_G1_702813","60-69","F"
"be_G1_702814","HH_be_G1_702814","50-59","M"
"be_G1_702815","HH_be_G1_702815","30-39","M"
"be_G1_702816","HH_be_G1_702816","30-39","F"
"be_G1_702817","HH_be_G1_702817","50-59","F"
"be_G1_702819","HH_be_G1_702819","30-39","F"
"be_G1_702820","HH_be_G1_702820","18-29","F"
"be_G1_702821","HH_be_G1_702821","12-17","F"
"be_G1_702822","HH_be_G1_702822","50-59","F"
"be_G1_702823","HH_be_G1_702823","40-49","M"
"be_G1_702824","HH_be_G1_702824","50-59","F"
"be_G1_702825","HH_be_G1_702825","30-39","F"
"be_G1_702826","HH_be_G1_702826","50-59","F"
"be_G1_702827","HH_be_G1_702827","18-29","M"
"be_G1_702828","HH_be_G1_702828","40-49","M"
"be_G1_702829","HH_be_G1_702829","50-59","F"
"be_G1_702830","HH_be_G1_702830","50-59","F"
"be_G1_702831","HH_be_G1_702831","60-69","M"
"be_G1_702833","HH_be_G1_702833","30-39","M"
"be_G1_702834","HH_be_G1_702834","50-59","F"
"be_G1_702835","HH_be_G1_702835","30-39","M"
"be_G1_702836","HH_be_G1_702836","50-59","M"
"be_G1_702837","HH_be_G1_702837","18-29","M"
"be_G1_702838","HH_be_G1_702838","50-59","F"
"be_G1_702840","HH_be_G1_702840","70-120","M"
"be_G1_702842","HH_be_G1_702842","50-59","F"
"be_G1_702843","HH_be_G1_702843","30-39","M"
"be_G1_702844","HH_be_G1_702844","5-11","M"
"be_G1_702845","HH_be_G1_702845","60-69","M"
"be_G1_702847","HH_be_G1_702847","60-69","M"
"be_G1_702848","HH_be_G1_702848","12-17","M"
"be_G1_702849","HH_be_G1_702849","70-120","F"
"be_G1_702850","HH_be_G1_702850","40-49","F"
"be_G1_702851","HH_be_G1_702851","50-59","F"
"be_G1_702852","HH_be_G1_702852","18-29","F"
"be_G1_702853","HH_be_G1_702853","18-29","F"
"be_G1_702855","HH_be_G1_702855","70-120","M"
"be_G1_702856","HH_be_G1_702856","40-49","F"
"be_G1_702857","HH_be_G1_702857","70-120","F"
"be_G1_702858","HH_be_G1_702858","40-49","M"
"be_G1_702859","HH_be_G1_702859","60-69","F"
"be_G1_702860","HH_be_G1_702860","60-69","M"
"be_G1_702861","HH_be_G1_702861","40-49","M"
"be_G1_702862","HH_be_G1_702862","40-49","F"
"be_G1_702863","HH_be_G1_702863","70-120","F"
"be_G1_702864","HH_be_G1_702864","18-29","F"
"be_G1_702865","HH_be_G1_702865","30-39","M"
"be_G1_702867","HH_be_G1_702867","70-120","M"
"be_G1_702868","HH_be_G1_702868","50-59","F"
"be_G1_702869","HH_be_G1_702869","50-59","M"
"be_G1_702870","HH_be_G1_702870","50-59","M"
"be_G1_702871","HH_be_G1_702871","5-11","F"
"be_G1_702872","HH_be_G1_702872","18-29","F"
"be_G1_702873","HH_be_G1_702873","40-49","M"
"be_G1_702874","HH_be_G1_702874","12-17","M"
"be_G1_702875","HH_be_G1_702875","30-39","F"
"be_G1_702876","HH_be_G1_702876","50-59","F"
"be_G1_702877","HH_be_G1_702877","30-39","M"
"be_G1_702878","HH_be_G1_702878","50-59","M"
"be_G1_702879","HH_be_G1_702879","50-59","F"
"be_G1_702880","HH_be_G1_702880","30-39","F"
"be_G1_702881","HH_be_G1_702881","70-120","M"
"be_G1_702883","HH_be_G1_702883","30-39","M"
"be_G1_702884","HH_be_G1_702884","60-69","F"
"be_G1_702885","HH_be_G1_702885","5-11","F"
"be_G1_702886","HH_be_G1_702886","30-39","F"
"be_G1_702888","HH_be_G1_702888","18-29","F"
"be_G1_702889","HH_be_G1_702889","50-59","F"
"be_G1_702890","HH_be_G1_702890","40-49","F"
"be_G1_702891","HH_be_G1_702891","60-69","M"
"be_G1_702892","HH_be_G1_702892","40-49","F"
"be_G1_702893","HH_be_G1_702893","30-39","F"
"be_G1_702894","HH_be_G1_702894","30-39","M"
"be_G1_702895","HH_be_G1_702895","70-120","F"
"be_G1_702896","HH_be_G1_702896","50-59","F"
"be_G1_702897","HH_be_G1_702897","30-39","F"
"be_G1_702898","HH_be_G1_702898","18-29","F"
